Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,boost_score_avg,boost_score_std_dev,boost_score_sum,boosting_timeslots_count,count_authors_sharing_boosted_posts,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,number_pointed_posts,number_pointers,Cluster
428,94bc596e1528316fb2f96f7748ead6aa,346,1,0,1,?,7,1,3,1,0.025,0,0.025,0,0,13.172414,58,764,1,1230,1,1,cluster3
429,955adb1baaf2347f89001e5615ea9cc3,11,1,0,1,?,10,1,2,1,0,0,0,0,0,0,0,83,1,25,1,1,cluster3
430,9576e1dbc6263fc5ab78107518a264cd,11,?,0,1,?,10,1,5,1,0.000761,0,0.000761,0,0,73.75,4,295,1,56,1,1,cluster3
431,958e1832031e3b85b02633dcf6c3b62c,2661,?,0,0,?,14,1,80,1,?,?,?,?,?,0.54955,999,549,1,214293,?,?,cluster6
432,9731947a99aa32229d784d73366f6676,20,1,0,1,44.6,12.5,2,5,1,0.009862,0.009862,0.019723,1,191,0,8,0,2,115,2,2,cluster0
433,978d374d04e638f4b00ec74384d8990b,269,1,0,1,?,12,1,1,1,0.081145,0,0.081145,0,0,0.424176,455,193,1,466,1,1,cluster3
434,97ce36370bde3b948df3deba2be89761,20,1,0,1,2.15,12.5,2,9,1,0.005471,0.001556,0.010941,0,0,33.545455,11,369,2,182,2,2,cluster3
435,98e7f90444c838cebd4e5fcf9a24d1d7,1441,?,0,1,?,11,1,5,1,?,?,?,?,?,0.039308,636,25,1,7935,?,?,cluster6
436,990023259eb3335194b9649b3f751526,1840,?,0,0,?,14,1,20,0,?,?,?,?,?,0.405575,10511,4263,1,38569,?,?,cluster6
437,995afba5736835ea97ef0b88320dd0ed,1467,?,0,0,?,12,1,5,0,?,?,?,?,?,0.361921,583,211,1,7476,?,?,cluster6
438,996a33c9ba753a7595870959b8c3fec1,19,1,0,1,67.683333,12.5,2,4,1,0.005101,0.001926,0.010202,0,0,48.571429,7,340,2,90,2,2,cluster3
439,996d85ecd5013c6dbcee2e1fd39c70f1,19,1,0,1,0.216667,12.5,2,3,1,0.001957,0.001957,0.003914,0,0,0,15,0,2,73,2,2,cluster3
440,9ad3cca7e6ca3a9584d86c1e38ab0a8e,3067,?,0,1,3521.247917,20.117647,3.4,102,0,0,0,0,0,0,1.057359,92086,97368,17,315879,14,14,cluster5
441,9af2a30516ac3810af9db6cf0b08d920,2946,?,0,2,?,15,1,1,1,?,?,?,?,?,0.381443,776,296,1,4646,?,?,cluster6
442,9b19ea2fa04b3301b2468f963e995abf,11,1,0,1,?,10,1,2,1,0,0,0,0,0,41,3,123,1,28,1,1,cluster3
443,9b956a17704538c1b26069ab3529f10d,1652,?,0,1,?,23,1,8,1,0.000712,0,0.000712,0,0,6.339921,506,3208,1,14680,1,1,cluster2
444,9be575f27e9c3cf99452bac602d3a5ed,2818,?,0,1,?,18,1,3,1,?,?,?,?,?,1.370079,889,1218,1,10479,?,?,cluster6
445,9cd2228b891734d793233e5c33ee4c4a,73,?,0,1,?,13,1,233,1,0,0,0,0,0,1.271479,3934,5002,1,17071,1,1,cluster2
446,9d0e80f9a0673a329b3261d8325d110a,180,1,0,1,?,12,1,3,1,0.081145,0,0.081145,0,0,1.184783,276,327,1,657,1,1,cluster3
447,9d41823af73e32949d2806ea9c2db55e,375,1,0,1,?,7,1,3,1,0.252852,0,0.252852,1,90,10.816327,49,530,1,1143,1,1,cluster1
448,9d5bf717e8da3dd499ef8d189f7756ed,375,1,0,1,?,7,1,6,1,0.166763,0,0.166763,1,90,13.186047,43,567,1,2295,1,1,cluster1
449,9d8b67917c7034de809fbfc1582f2f8c,422,?,0,0,2.108333,21,3,15,2,?,?,?,?,?,1.571475,3085,4848,3,6601,?,?,cluster6
450,9dfe3d55395532aebd28aab92f1e0b7d,510,1,0,1,?,7,1,2,1,0,0,0,0,0,11.5,22,253,1,1205,1,1,cluster3
451,9e5d93867adb300f9df60dc04649cf88,1503,?,0,1,54702.966667,22,1,14,2,0,0,0,0,0,0.001109,902,1,2,22151,1,1,cluster4
452,9e7afc91417f34d0a6c320ec010686d5,126,?,0,0,?,23,1,0,1,?,?,?,?,?,3.928571,28,110,1,30,?,?,cluster6
453,9ed99548c1f7301b8594036edf189843,929,1,0,1,?,7,1,1,1,0,0,0,0,0,8.130435,23,187,1,1184,1,1,cluster3
454,9f15b579c67f320aa0115070e104512b,2419,?,0,1,?,23,1,2,1,?,?,?,?,?,1.141337,1974,2253,1,6122,?,?,cluster6
455,9fe37f4629ad383cbe6bd9a175b9244c,168,1,0,1,?,12,1,3,1,0.081145,0,0.081145,0,0,0.897727,176,158,1,564,1,1,cluster3
456,a14c0606ee0a3ae491666cbe8507c023,20,1,0,1,27.416667,12.5,2,4,1,0.009862,0.009862,0.019723,1,191,0,3,0,2,85,2,2,cluster0
457,a20b12975029347eba851383530aa773,286,?,0,1,-0.133333,13,2,10,1,?,?,?,?,?,1.222222,117,143,2,2879,?,?,cluster6
458,a2152976aa2d3037995f8fcdd37ede11,184,?,0,2,?,12,1,212,0,?,?,?,?,?,0.735849,53,39,1,39074,?,?,cluster6
459,a254708cc30238d8959d2b6cce121bc2,12,?,0,1,?,10,1,4,1,0.003914,0,0.003914,0,0,101.333333,3,304,1,53,1,1,cluster3
460,a2c4e025e86330f386f5cfb74d46be35,2282,?,0,0,?,12,1,5,0,?,?,?,?,?,1.771898,548,971,1,11886,?,?,cluster6
461,a301d831b0643663b78adbb78ea5e4c7,11,?,0,1,?,10,1,5,1,0.003883,0,0.003883,1,191,60,5,300,1,63,1,1,cluster0
462,a3b52da07d17323e857c62768ae782bf,766,?,0,0,?,0,1,6,0,?,?,?,?,?,0.136986,292,40,1,4652,?,?,cluster6
463,a3df2679c3353ffcb01c7cefcbed7f40,1699,?,0,1,?,23,1,33,1,0.000712,0,0.000712,0,0,1.666425,1379,2298,1,56178,1,1,cluster2
464,a480953a61ea3d528f8d52baf5be6351,1756,?,0,0,?,17,1,18,1,?,?,?,?,?,0.880923,2427,2138,1,32980,?,?,cluster6
465,a4d062feab7930b1b17ebbf81e0fce7d,1579,1,0,1,?,12,1,0,1,0.02152,0,0.02152,0,0,1.290822,839,1083,1,1037,1,1,cluster3
466,a4e2523d49873cc69ad105b292b911d0,174,1,0,1,?,12,1,2,1,0.081145,0,0.081145,0,0,2.776316,152,422,1,418,1,1,cluster3
467,a520860d50e13eb6be6a30042a026654,18,1,0,1,41.7,12.5,2,7,1,0.009862,0.009862,0.019723,1,191,10.942857,35,383,2,129,2,2,cluster0
468,a561b6f45f1338f5aef9aceae0fb4776,866,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,5.309524,42,223,1,1521,1,1,cluster3
469,a56beb8456ed3f3899e5636ab99a5f18,20,1,0,1,-6.266667,12.5,2,5,1,0.013375,0.006348,0.02675,1,191,0,6,0,2,113,2,2,cluster0
470,a5aa75a9379d320d8e0e11481522bd42,1729,?,0,0,?,25,1,8,0,?,?,?,?,?,0.936572,741,694,1,14025,?,?,cluster6
471,a684fbc5cf953ca980c955f768e432e8,2759,?,0,1,-2.666667,10,2,0,1,?,?,?,?,?,0.081967,61,5,2,155,?,?,cluster6
472,a727d334d6d738f5b101e58c906d281c,752,1,0,1,?,7,1,1,1,0.166763,0,0.166763,1,90,12.736842,19,242,1,1125,1,1,cluster1
473,a73ef2925efe37218a25bb344d587bc8,436,1,0,1,?,7,1,2,1,0,0,0,0,0,24.388889,36,878,1,1282,1,1,cluster3
474,a7405fd7d82336438e5fedeca30e84eb,19,1,0,1,-9.2,12.5,2,6,1,0.013375,0.006348,0.02675,1,191,35.5,8,284,2,126,2,2,cluster0
475,a75df22b2734307f80fae86bd0e563b2,1500,?,0,0,?,6,1,17,0,?,?,?,?,?,0.753644,686,517,1,26728,?,?,cluster6
476,a774f91a51bc32fba2e1a4a252adbb34,83,?,0,2,?,12,1,118,0,?,?,?,?,?,3.1,10,31,1,9806,?,?,cluster6
477,a782ce45779a3c858836e028f8f79fe5,11,1,0,1,?,10,1,1,1,0,0,0,0,0,85,1,85,1,12,1,1,cluster3
478,a7ca2d3397c23a408c4ebd2bb9c0baa5,11,1,0,1,?,10,1,1,1,0,0,0,0,0,0,0,6,1,12,1,1,cluster3
479,a7d16a454075350dbe45e603c057b8de,3233,?,0,0,?,14,1,31,1,?,?,?,?,?,0.168839,3453,583,1,102838,?,?,cluster6
480,a7faae7b59873eceadef895c42ac2c41,18,1,0,1,7.266667,12.5,2,4,1,0.005471,0.001556,0.010941,0,0,0,0,0,2,73,2,2,cluster3
481,a8e39cde6e0e3d48b59987c35f387f34,17,1,0,1,-9.966667,12.5,2,3,1,0.005471,0.001556,0.010941,0,0,0,9,0,2,59,2,2,cluster3
482,a9744567e2f33095aa022d793b957492,19,1,0,1,0.166667,12.5,2,2,1,0.005471,0.001556,0.010941,0,0,86.5,4,346,2,46,2,2,cluster3
483,a97465a70e0d3d2192abc1b2bd5d6080,19,1,0,1,-4.816667,12.5,2,5,1,0.005471,0.001556,0.010941,0,0,0,8,0,2,109,2,2,cluster3
484,a9782debf7d13b7ca5267376c4c3a17a,1226,?,0,1,?,9,1,153,0,?,?,?,?,?,0.006135,163,1,1,188496,?,?,cluster6
485,a9a342b1ad8535c2bc143f615f1647f8,988,?,0,0,?,22,1,62,1,?,?,?,?,?,0.120051,1566,188,1,62237,?,?,cluster6
486,aa17aaa315323047a60b2d0a9985beea,11,?,0,1,?,10,1,6,1,0.001505,0,0.001505,0,0,54.333333,6,326,1,68,1,1,cluster3
487,aad2b5c41e243bb3bd52f85fa9c775be,1352,?,0,1,?,24,1,18,2,?,?,?,?,?,1.968692,543,1069,1,24445,?,?,cluster6
488,ab5705ddb913355cb653a14468f76930,1317,?,0,1,?,19,1,20,0,0,0,0,0,0,0.534413,247,132,1,26683,1,1,cluster2
489,ab57832992ca38fbac61b18be6c3dc45,546,?,0,1,?,14,1,12,0,0,0,0,0,0,0.974227,194,189,1,7060,1,1,cluster3
490,ab6750be2dba32e2b7e753a9b15be17b,1599,?,0,0,?,0,1,184,0,?,?,?,?,?,0.848301,2973,2522,1,295447,?,?,cluster6
491,aba1f710443b3a5997244c7031a86359,645,1,0,1,?,7,1,1,1,0,0,0,0,0,9.222222,27,249,1,999,1,1,cluster3
492,aba3595718883567a63b7d391b69e623,12,?,0,1,?,10,1,7,1,0.003175,0,0.003175,0,0,94,3,282,1,90,1,1,cluster3
493,abb95c1f371d3c09bdc24699b723cadb,2040,?,0,0,?,12,1,13,0,?,?,?,?,?,0.212047,2042,433,1,27312,?,?,cluster6
494,ac0cab63df003bd1af7b722df5392bd0,19,1,0,1,19.15,12.5,2,6,1,0.013375,0.006348,0.02675,1,191,30,11,330,2,132,2,2,cluster0
495,acb9de5a408c35cf9bec7d429efc15c8,868,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,6.419355,31,199,1,1124,1,1,cluster3
496,ad89b8a3d8d3306b957bd24f01bf0122,11,?,0,1,?,10,1,10,1,0.00098,0,0.00098,0,0,318,1,318,1,113,1,1,cluster3
497,ae43afb78b75343f811b2d055ee00a89,12,?,0,1,?,10,1,1,1,0.005209,0,0.005209,0,0,1,1,1,1,19,1,1,cluster3
498,ae8421fb3d5e3f4e84b3103d84744646,2609,?,0,1,?,10,1,94,1,0,0,0,0,0,0.000174,1204408,209,1,246533,1,1,cluster2
499,aeb1140e603c38fc925210a9a3a968cc,758,1,0,1,?,7,1,1,1,0.252852,0,0.252852,1,90,7.64,25,191,1,1264,1,1,cluster1
500,af68dac205463d688e1ed0d9c8e64101,12,1,0,1,15.433333,12.5,2,7,1,0.013375,0.006348,0.02675,1,191,29.5,2,59,2,95,2,2,cluster0
501,af771280fbd7317da70a689c28875024,12,?,0,1,?,15,1,0,1,0.003689,0,0.003689,0,0,0,0,11,1,7,1,1,cluster3
502,afd046563e7835f9997cb0c373ee0430,1937,?,0,0,?,14,1,49,3,?,?,?,?,?,0.831077,51787,43039,1,95500,?,?,cluster2
503,b00ecd8d0ed033509008f218871f5175,1036,?,0,0,?,13,1,17,1,?,?,?,?,?,0.47286,5490,2596,1,17739,?,?,cluster6
504,b047ce1c67503c849902fba0994efe25,880,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,10.142857,28,284,1,1032,1,1,cluster3
505,b0e8ffc7bf0c39bca897b790d6cafed5,2554,?,0,0,?,21,1,2,1,?,?,?,?,?,1.370213,235,322,1,7225,?,?,cluster6
506,b0f7b162a799377aa3755e7b1fe9c6fb,969,?,0,1,?,18,1,6,0,0,0,0,0,0,1.654321,567,938,1,6000,1,1,cluster3
507,b14e76bbe3503ea98466fd7fd4c01a8c,1202,?,0,1,?,17,1,0,0,0,0,0,0,0,1.478528,163,241,1,653,1,1,cluster3
508,b14f653450a931508f26871b967900e0,1216,?,0,2,?,13,1,1,0,?,?,?,?,?,0,33,0,1,2103,?,?,cluster6
509,b18afb2aa09e3ce6bf37de78499b659d,89,?,0,2,35.891667,16.8,5,122,0,?,?,?,?,?,1.904762,21,40,5,10872,?,?,cluster4
510,b1b90df45e023837b85302a77f9baddf,269,?,0,2,28079.258333,18,1,278,0,0,0,0,0,0,0.37037,108,40,3,74849,2,2,cluster4
511,b1c93d93855e37d3bf589e593c85bcc3,328,1,0,1,?,7,1,3,1,0.252852,0,0.252852,1,90,21.076923,13,274,1,1260,1,1,cluster1
512,b206235e0726364f85f343bebf4ddc11,179,?,0,2,?,15,1,199,0,?,?,?,?,?,0.392157,102,40,1,35679,?,?,cluster6
513,b249e5f1a2513eb9a725acd760862a64,1788,?,0,0,?,5,1,61,1,?,?,?,?,?,1.157143,1890,2187,1,109402,?,?,cluster6
514,b2d09e67119c39c8a253725f86f2c539,617,?,0,1,3963.029762,1,3.75,2583,0,0,0,0,0,0,0.2,1665,333,15,1593928,13,13,cluster5
515,b344e6c4a4bf35aba99a679c0d511092,1052,?,0,0,?,28,1,60,3,?,?,?,?,?,1.14028,3215,3666,1,63799,?,?,cluster6
516,b389e1ff47f73b6e948a92d7656c9e74,624,1,0,1,?,12,1,0,1,0.000268,0,0.000268,0,0,0.54878,410,225,1,149,1,1,cluster3
517,b54b587a1df83a798e8c56887bb9bc2f,18,1,0,1,3.583333,12.5,2,5,1,0.005471,0.001556,0.010941,0,0,107,3,321,2,100,2,2,cluster3
518,b567edcbd7703076975581b1f3e4b404,11,1,0,1,?,10,1,2,1,0,0,0,0,0,0,0,0,1,31,1,1,cluster3
519,b5e510de1b0b3242bb8704032667c761,11,1,0,1,?,10,1,4,1,0,0,0,0,0,0,0,301,1,49,1,1,cluster3
520,b6a53cf31ac83e17b874255ae9a2b21d,834,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,4.746667,150,712,1,1453,1,1,cluster3
521,b6bacd46963b37259c9b1501a6c6af8a,1691,?,0,0,?,4,1,7,0,?,?,?,?,?,0.971047,449,436,1,11977,?,?,cluster6
522,b6fd6eeaa0c63638ba65a95060f17e84,1796,?,0,1,?,27,1,9,0,?,?,?,?,?,2.380597,402,957,1,17089,?,?,cluster6
523,b9359efac5f43cfd8704927f90d724a9,50,?,0,0,?,2,1,16,1,?,?,?,?,?,4.884298,121,591,1,821,?,?,cluster6
524,ba390d4a60cf3082baa3a1bc6dfbf1d8,28,?,0,1,?,23,1,84,1,0.000046,0,0.000046,0,0,6.356643,143,909,1,2374,1,1,cluster3
525,ba412738858d328f85eae47de75fef7b,20,1,0,1,18.383333,12.5,2,9,1,0.013375,0.006348,0.02675,1,191,33.777778,9,304,2,181,2,2,cluster0
526,ba9b1594424d36beb89ebbee38b13aaf,432,?,0,2,777.976852,18.315068,14.6,1900,0,0.000023,0.000075,0.000627,0,0,0.070213,470,33,73,820957,27,65,cluster4
527,baf6c794f034330fbf8522e8fe39125c,19,1,0,1,-17.1,12.5,2,5,1,0.005471,0.001556,0.010941,0,0,0,4,0,2,113,2,2,cluster3
528,bb24aba2b7dd3aac80d29d33c108961a,17,1,0,1,0.183333,12.5,2,4,1,0.005471,0.001556,0.010941,0,0,312,1,312,2,70,2,2,cluster3
529,bb26a531099936b0855d1ba13d3d0c02,313,1,0,1,?,7,1,3,1,0.166763,0,0.166763,1,90,19.529412,34,664,1,1153,1,1,cluster1
530,bc1fbe802fa637fb80228be22f5dc451,2555,?,0,1,?,13,1,73,0,0,0,0,0,0,0.028827,327890,9452,1,187806,1,1,cluster2
531,bccf837d414e3218bc71740324abc570,723,?,0,2,?,12,1,4,0,?,?,?,?,?,0.132786,11206,1488,1,3375,?,?,cluster6
532,bd38483157ec31039ed10f08c19afc28,70,?,0,2,?,12,1,25,0,?,?,?,?,?,3.076923,13,40,1,1759,?,?,cluster6
533,bd446330600531269483fa7a3e992c02,61,?,0,2,?,8,1,103,0,?,?,?,?,?,1.052632,19,20,1,6301,?,?,cluster6
534,be01a0a1eafa3bc488a39e0a0495b884,1124,?,0,1,?,10,1,76,0,?,?,?,?,?,0.016475,8012,132,1,86010,?,?,cluster6
535,be0b876fec173f37b7d5cf9e4b4fe21e,83,?,0,1,?,6,1,51,0,0.000033,0,0.000033,0,0,11.933014,418,4988,1,4303,1,1,cluster3
536,be793bc69d4f3cfda6a673ba56ac32dc,322,?,0,1,?,9,1,20,1,?,?,?,?,?,1.062201,1045,1110,1,6675,?,?,cluster6
537,befac80cc5d13d4b9fe1b3cf6723cb57,18,1,0,1,18.3,12.5,2,6,1,0.005471,0.001556,0.010941,0,0,64.6,5,323,2,119,2,2,cluster3
538,bf5c89de454f322d86092ffd90a9e398,11,?,0,1,?,10,1,18,1,0.001219,0,0.001219,0,0,62,5,310,1,201,1,1,cluster3
539,bf760fc87b2f332386b0105ddf53ea77,2528,?,0,0,?,22,1,548,1,?,?,?,?,?,0.082189,189928,15610,1,1385465,?,?,cluster5
540,bfb2ca661bb4357db8c2045d60c234f5,19,1,0,1,-1.366667,12.5,2,4,1,0.005471,0.001556,0.010941,0,0,0,3,0,2,89,2,2,cluster3
541,bfbefcb2ea0838d3aa97c5dea405a891,11,1,0,1,?,10,1,1,1,0,0,0,0,0,0,0,0,1,21,1,1,cluster3
542,c025f60ee80f372585b4c6c4fe497717,808,1,0,1,?,7,1,1,1,0.252852,0,0.252852,1,90,7.535714,28,211,1,1144,1,1,cluster1
543,c0528e8b3cd1365c8e54624ff886aba0,786,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,8.826087,23,203,1,1077,1,1,cluster3
544,c0aef693e7ba3c839c9697c0af0e5481,1215,1,0,1,?,12,1,0,1,0.000977,0,0.000977,0,0,3.756098,246,924,1,1026,1,1,cluster3
545,c18a0a93e63a326796d5d3d1ed1df672,12,?,0,1,?,10,1,0,1,0.00619,0,0.00619,0,0,0,0,6,1,3,1,1,cluster3
546,c22bdb2e3871392fb90d343ca18fd14d,2656,?,0,1,?,9,1,8,0,0,0,0,0,0,0.005027,10544,53,1,22803,1,1,cluster2
547,c242226455913781a842a9d8485625e9,2717,?,0,0,?,9,1,1,0,0,0,0,0,0,0.933884,605,565,1,4875,1,1,cluster2
548,c29120fba4803222a3476e9323ca15e2,11,?,0,1,?,10,1,9,1,0.000761,0,0.000761,0,0,60,5,300,1,106,1,1,cluster3
549,c2da382f1d4636b2b5a584cff1e90e6d,244,?,0,2,25859.466667,19.333333,1.5,1263,0,0,0,0,0,0,0,302,0,3,308341,2,2,cluster4
550,c31cd7b4d8da3becb04b97630b5ad710,2730,?,0,1,?,6,1,86,0,?,?,?,?,?,3.159483,696,2199,1,235481,?,?,cluster6
551,c3ace75e6edb3324b73c6788ac3fde2a,1436,?,0,0,?,10,1,0,0,0,0,0,0,0,0.141543,7503,1062,1,705,1,1,cluster2
552,c3c569811905380f8980e378f987f0cb,19,1,0,1,9.6,12.5,2,5,1,0.005471,0.001556,0.010941,0,0,0,5,0,2,106,2,2,cluster3
553,c4778b446e7e3be2843eef7eed314bea,369,1,0,1,?,7,1,2,1,0.426704,0,0.426704,1,90,10.5,56,588,1,1047,1,1,cluster1
554,c47d1c91c4e83bc7bebb5bcb28c09628,927,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,7.478261,23,172,1,1146,1,1,cluster3
555,c4cccbb8e4ab3cabafc44e70023f160c,371,?,0,2,?,11,1,78,0,0,0,0,0,0,0.372177,1948,725,1,28985,1,1,cluster2
556,c518b9f84d233f40a2015003d5c1ac79,1622,?,0,1,?,10,1,5,0,?,?,?,?,?,1.549296,355,550,1,8292,?,?,cluster6
557,c56d36e170d63d53b8868010953e4fb0,2439,?,0,1,?,15,1,0,2,?,?,?,?,?,5.287097,310,1639,1,408,?,?,cluster6
558,c597bbcc32f73d19ae5a25b9541a285f,12,?,0,1,?,10,1,1,1,0.004837,0,0.004837,0,0,0,0,2,1,23,1,1,cluster3
559,c61b0564a4ad3d319ec1390c0167fc24,517,?,0,0,?,9,1,12,0,?,?,?,?,?,0.818182,66,54,1,6638,?,?,cluster6
560,c6f314a956c037d48d2aa9a1ac827318,391,1,0,1,?,7,1,3,1,0.025,0,0.025,0,0,11.891304,46,547,1,1411,1,1,cluster3
561,c6f626b6258a36839ecaee7ee8ac6827,1846,?,0,2,?,15,1,6,0,?,?,?,?,?,0.452055,73,33,1,12689,?,?,cluster6
562,c7bd78e8f9d3308382e2cbe822d62156,11,?,0,1,?,10,1,16,1,0.00098,0,0.00098,0,0,75.75,4,303,1,180,1,1,cluster3
563,c898bed1f06e399a8b9d635f3b115bd8,1500,?,0,2,?,13,1,136,0,?,?,?,?,?,0.834123,422,352,1,205416,?,?,cluster6
564,c8bffec4972f3de7877fd2afeab5a649,109,?,0,0,?,4,1,33,0,0,0,0,0,0,2.134,1000,2134,1,3664,1,1,cluster2
565,c8d8950ffae6379bb0692daa21f52e1e,1699,?,0,0,?,18,1,39,0,?,?,?,?,?,0.411437,717,295,1,67458,?,?,cluster6
566,c8e0c8ae3d8b3ca2b0372473d26feb01,376,1,0,1,?,7,1,3,1,0.166763,0,0.166763,1,90,12.924528,53,685,1,1433,1,1,cluster1
567,c8f8f448a4783ebd88da65b4a0aeb18d,794,1,0,1,?,7,1,1,1,0.166763,0,0.166763,1,90,11.708333,24,281,1,1106,1,1,cluster1
568,c923cf5553fc3be99933d505a791a053,109,?,0,2,?,16,1,99,0,?,?,?,?,?,1.25,16,20,1,10806,?,?,cluster6
569,c989c69e32e23d1f9866b1e78d374cd5,12,1,0,1,-3.216667,12.5,2,2,1,0.005471,0.001556,0.010941,0,0,0,0,115,2,25,2,2,cluster3
570,ca05bc9b13d630088073a9f889e8d250,2678,?,0,1,?,11,1,3,0,?,?,?,?,?,0.837754,6447,5401,1,9847,?,?,cluster6
571,ca33c0bf08883fe39a182b3e00a0bada,265,?,0,0,?,23,1,14,3,?,?,?,?,?,0.8125,32,26,1,3887,?,?,cluster6
572,ca3661503858361dbcd02cb9572e4c44,11,1,0,1,?,10,1,1,1,0,0,0,0,0,24.2,5,121,1,14,1,1,cluster3
